,Unnamed: 0,drug_name,to_be_split,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,symptom15
817,817.0,Mucinex Fast-Max Night Time Cold & Flu,nan,nan,,,,,,,,,,,,,,
818,818.0,Scot-Tussin Allergy,difficult breathing swelling face lips tongue throat stop using side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat stop,using side,effects dry,mouth constipation,confusion may,likely older,adults,,,,,
819,819.0,Siladryl Allergy,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
820,820.0,Sudafed PE Sinus & Allergy,difficult breathing swelling face lips tongue throat scot tussin allergy relief formula stop using scot tussin allergy relief formula side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat scot,tussin allergy,relief formula,stop using,scot tussin,allergy relief,formula side,effects dry,mouth constipation,confusion may,likely older,adults
821,821.0,Twilite,difficult breathing swelling face lips tongue throat siladryl allergy stop using siladryl allergy side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat siladryl,allergy stop,using siladryl,allergy side,effects dry,mouth constipation,confusion may,likely older,adults,,,
822,822.0,Tylenol Cold Multi-Symptom Severe,difficulty breathing swelling face lips tongue throat stop using sudafed pe sinus & allergy,difficulty breathing,swelling face,lips tongue,throat stop,using sudafed,pe sinus,& allergy,,,,,,,,
823,823.0,Valu-Dryl,difficult breathing swelling face lips tongue throat stop using side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat stop,using side,effects dry,mouth constipation,confusion may,likely older,adults,,,,,
824,824.0,Vanamine PD,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
825,825.0,Virtussin DAC,difficult breathing swelling face lips tongue throat valu dryl stop using valu dryl side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat valu,dryl stop,using valu,dryl side,effects dry,mouth constipation,confusion may,likely older,adults,,,
826,826.0,Benadryl Allergy Plus Sinus Headache,difficult breathing swelling face lips tongue throat vanamine pd stop using vanamine pd side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat vanamine,pd stop,using vanamine,pd side,effects dry,mouth constipation,confusion may,likely older,adults,,,
827,827.0,Primatene,difficult breathing swelling face lips tongue throat like narcotic medications slow breathing death may occur breathing becomes weak person caring seek emergency medical attention slow breathing long pauses blue colored lips hard wake stop taking medicine serious side effects may likely older adults overweight malnourished debilitated,difficult breathing,swelling face,lips tongue,throat like,narcotic medications,slow breathing,death may,occur breathing,becomes weak,person caring,seek emergency,medical attention,slow breathing,long pauses,blue colored
828,828.0,acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking allergy sinus headache call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking allergy,sinus headache,call doctor,right away
829,829.0,acetaminophen / dextromethorphan / guaifenesin / phenylephrine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs high blood pressure like bad headache dizziness passing change eyesight chest pain pr,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
830,830.0,acetaminophen / dextromethorphan / phenylephrine,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
831,831.0,Aller-Chlor,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
832,832.0,Allergy Relief,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains stop using dextromethorphan phenylephrine,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
833,833.0,brompheniramine,difficult breathing swelling face lips tongue throat aller chlor stop using aller chlor,difficult breathing,swelling face,lips tongue,throat aller,chlor stop,using aller,chlor,,,,,,,,
834,834.0,Mucinex Fast-Max Severe Cold,difficult breathing swelling face lips tongue throat allergy relief stop using allergy relief,difficult breathing,swelling face,lips tongue,throat allergy,relief stop,using allergy,relief,,,,,,,,
835,835.0,Mucinex Fast-Max Severe Congestion & Cold,nan,nan,,,,,,,,,,,,,,
836,836.0,Sudafed PE Pressure+Pain+Cold,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
837,837.0,Sudafed PE Severe Cold,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
838,838.0,Tylenol Cold Max Day,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
839,839.0,Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
840,840.0,Wal-finate,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains cold multi symptom daytime stop using cold multi symptom daytime,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
841,841.0,acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
842,842.0,acetaminophen / chlorpheniramine,difficult breathing swelling face lips tongue throat wal finate stop using wal finate,difficult breathing,swelling face,lips tongue,throat wal,finate stop,using wal,finate,,,,,,,,
843,843.0,Actifed Cold and Allergy,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
844,844.0,Advil Allergy Sinus,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking call,doctor right,away skin,redness rash
845,845.0,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,difficulty breathing swelling face lips tongue throat stop using actifed cold & allergy,difficulty breathing,swelling face,lips tongue,throat stop,using actifed,cold &,allergy,,,,,,,,
846,846.0,Aprodine,chest pain spreading jaw shoulder sudden numbness weakness one side body slurred speech leg swelling feeling short breath stop using medicine upset stomach mild heartburn nausea vomiting bloating gas diarrhea constipation dizziness headache nervousness flushing warmth redness tingly feeling mild itching rash ringing ears,chest pain,spreading jaw,shoulder sudden,numbness weakness,one side,body slurred,speech leg,swelling feeling,short breath,stop using,medicine upset,stomach mild,heartburn nausea,vomiting bloating,gas diarrhea
847,847.0,aspirin / chlorpheniramine / phenylephrine,difficulty breathing swelling face lips tongue throat medicine stop using medicine,difficulty breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
848,848.0,C.P.M.,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
849,849.0,camphor / eucalyptus / menthol,difficulty breathing swelling face lips tongue throat medicine stop using medicine,difficulty breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
850,850.0,Cheratussin DAC,difficult breathing swelling face lips tongue throat stop using,difficult breathing,swelling face,lips tongue,throat stop,using,,,,,,,,,,
851,851.0,Chlo-Amine,difficult breathing swelling face lips tongue throat less serious side effects may likely may none,difficult breathing,swelling face,lips tongue,throat less,serious side,effects may,likely may,none,,,,,,,
852,852.0,Chlor-Mal,difficult breathing swelling face lips tongue throat like narcotic medications slow breathing death may occur breathing becomes weak person caring seek emergency medical attention slow breathing long pauses blue colored lips hard wake stop taking medicine serious side effects may likely older adults overweight malnourished debilitated,difficult breathing,swelling face,lips tongue,throat like,narcotic medications,slow breathing,death may,occur breathing,becomes weak,person caring,seek emergency,medical attention,slow breathing,long pauses,blue colored
853,853.0,chlorpheniramine / hydrocodone,difficult breathing swelling face lips tongue throat chlo amine stop using chlo amine,difficult breathing,swelling face,lips tongue,throat chlo,amine stop,using chlo,amine,,,,,,,,
854,854.0,chlorpheniramine / phenylephrine,difficult breathing swelling face lips tongue throat chlor mal stop using chlor mal,difficult breathing,swelling face,lips tongue,throat chlor,mal stop,using chlor,mal,,,,,,,,
855,855.0,ChlorTan,difficult breathing swelling face lips tongue throat like narcotic medications slow breathing death may occur breathing becomes weak person caring seek emergency medical attention slow breathing long pauses blue colored lips hard wake medicine stop using medicine side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat like,narcotic medications,slow breathing,death may,occur breathing,becomes weak,person caring,seek emergency,medical attention,slow breathing,long pauses,blue colored
856,856.0,codeine / guaifenesin / pseudoephedrine,difficulty breathing swelling face lips tongue throat phenylephrine stop using phenylephrine,difficulty breathing,swelling face,lips tongue,throat phenylephrine,stop using,phenylephrine,,,,,,,,,
857,857.0,Coricidin HBP Nighttime Multi-Symptom Cold,difficult breathing swelling face lips tongue throat stop using,difficult breathing,swelling face,lips tongue,throat stop,using,,,,,,,,,,
858,858.0,dextromethorphan / promethazine,difficult breathing swelling face lips tongue throat like narcotic medications slow breathing death may occur breathing becomes weak person caring seek emergency medical attention slow breathing long pauses blue colored lips hard wake stop taking medicine serious side effects may likely older adults overweight malnourished debilitated,difficult breathing,swelling face,lips tongue,throat like,narcotic medications,slow breathing,death may,occur breathing,becomes weak,person caring,seek emergency,medical attention,slow breathing,long pauses,blue colored
859,859.0,diphenhydramine / phenylephrine,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
860,860.0,Drixoral Cold and Allergy,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
861,861.0,Ed-Chlortan,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
862,862.0,Ed A-Hist,difficulty breathing swelling face lips tongue throat stop using medicine side effects may likely older adults drowsiness feeling restless excited especially children blurred vision dry nose mouth,difficulty breathing,swelling face,lips tongue,throat stop,using medicine,side effects,may likely,older adults,drowsiness feeling,restless excited,especially children,blurred vision,dry nose,mouth,
863,863.0,Ed ChlorPed,difficult breathing swelling face lips tongue throat ed stop using ed,difficult breathing,swelling face,lips tongue,throat ed,stop using,ed,,,,,,,,,
864,864.0,Ed Chlor Ped Jr.,difficulty breathing swelling face lips tongue throat ed hist stop using ed hist,difficulty breathing,swelling face,lips tongue,throat ed,hist stop,using ed,hist,,,,,,,,
865,865.0,ephedrine / guaifenesin,difficult breathing swelling face lips tongue throat ed chlorped stop using ed chlorped,difficult breathing,swelling face,lips tongue,throat ed,chlorped stop,using ed,chlorped,,,,,,,,
866,866.0,Robitussin Peak Cold Nighttime Nasal Relief,difficult breathing swelling face lips tongue throat ed chlor ped jr stop using ed chlor ped jr,difficult breathing,swelling face,lips tongue,throat ed,chlor ped,jr stop,using ed,chlor ped,jr,,,,,,
867,867.0,Theraflu Daytime Severe Cold & Cough,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs high blood pressure like bad headache dizziness passing change eyesight chest pain pr,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
868,868.0,TussiCaps,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking robitussin nighttime nasal relief call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine side effects dry mouth constipation confusion may likely older adults common side effects robitussin nighttime nasal relief may include : dizziness drowsiness mild head,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking robitussin,nighttime nasal,relief call,doctor right
869,869.0,Tylenol Cold Multi-Symptom Nighttime,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains stop using theraflu daytime severe cold & cough,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
870,870.0,A-Phedrin,difficult breathing swelling face lips tongue throat like narcotic medications slow breathing death may occur breathing becomes weak person caring seek emergency medical attention slow breathing long pauses blue colored lips hard wake medicine stop using medicine side effects dry mouth constipation confusion may likely older adults,difficult breathing,swelling face,lips tongue,throat like,narcotic medications,slow breathing,death may,occur breathing,becomes weak,person caring,seek emergency,medical attention,slow breathing,long pauses,blue colored
871,871.0,acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
872,872.0,acetaminophen / dextromethorphan / doxylamine / phenylephrine,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
873,873.0,acetaminophen / dextromethorphan / doxylamine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
874,874.0,acetaminophen / dextromethorphan / guaifenesin / pseudoephedrine,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
875,875.0,acetaminophen / dextromethorphan / pseudoephedrine,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
876,876.0,acetaminophen / diphenhydramine / phenylephrine,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
877,877.0,acetaminophen / pheniramine / phenylephrine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
878,878.0,Advil Congestion Relief,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
879,879.0,Advil Sinus Congestion & Pain,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking pheniramine phenylephrine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking pheniramine,phenylephrine call,doctor right,away skin
880,880.0,Ala-Hist PE,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat weakness side body trouble speaking thinking change balance drooping one side face blurred ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
881,881.0,Alka-Seltzer Plus-D Multi-Symptom Sinus & Cold Liquid Gels,chest pain spreading jaw shoulder sudden numbness weakness one side body slurred speech leg swelling feeling short breath stop using sinus congestion & pain,chest pain,spreading jaw,shoulder sudden,numbness weakness,one side,body slurred,speech leg,swelling feeling,short breath,stop using,sinus congestion,& pain,,,
882,882.0,Allergy Multi-Symptom,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
883,883.0,Biotussin DAC,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
884,884.0,Bromatan Plus,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
885,885.0,Bromax,difficult breathing swelling face lips tongue throat like narcotic medications slow breathing death may occur breathing becomes weak person caring seek emergency medical attention slow breathing long pauses blue colored lips hard wake stop taking medicine serious side effects may likely older adults overweight malnourished debilitated,difficult breathing,swelling face,lips tongue,throat like,narcotic medications,slow breathing,death may,occur breathing,becomes weak,person caring,seek emergency,medical attention,slow breathing,long pauses,blue colored
886,886.0,camphor,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
887,887.0,Capron DM,nan,nan,,,,,,,,,,,,,,
888,888.0,Children's Triacting Night Time,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat topical side effects,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
889,889.0,Childrens Tylenol Cold Plus Cough,difficult breathing swelling face lips tongue throat capron dm stop using capron dm,difficult breathing,swelling face,lips tongue,throat capron,dm stop,using capron,dm,,,,,,,,
890,890.0,Chlo Hist,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
891,891.0,chlophedianol / pyrilamine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
892,892.0,chlorpheniramine / ibuprofen / pseudoephedrine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat feeling sleepy chlo hist side effects,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
893,893.0,chlorpheniramine / phenylephrine / pyrilamine,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat chlophedianol / pyrilamine side effects,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
894,894.0,Cold Multi-Symptom (Nighttime),chest pain spreading jaw shoulder sudden numbness weakness one side body slurred speech leg swelling feeling short breath medicine stop using medicine,chest pain,spreading jaw,shoulder sudden,numbness weakness,one side,body slurred,speech leg,swelling feeling,short breath,medicine stop,using medicine,,,,
895,895.0,Comtrex Cold and Cough Maximum Strength,difficult breathing swelling face lips tongue throat medicine stop using medicine side effects may likely older adults,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine side,effects may,likely older,adults,,,,,,
896,896.0,Comtrex Cold and Flu Maximum Strength Tablet,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
897,897.0,Contac Cold + Flu (Night Formula),warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
898,898.0,Delsym Cough+ Cold Day Time,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
899,899.0,Delsym Cough+ Cold Night Time,difficulty breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking contac cold flu maximum strength call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine side effects dry mouth constipation confusion may likely older adults common side effects contac cold flu maximum strength may include : dizziness drowsiness mild headac,difficulty breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking contac,cold flu,maximum strength,call doctor
900,900.0,Deltuss DMX,difficult breathing swelling face lips tongue throat rare cases may cause severe skin reaction fatal could occur even taken past reaction stop taking medicine call doctor right away skin redness rash spreads causes blistering peeling type reaction never take medicine contains medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat rare,cases may,cause severe,skin reaction,fatal could,occur even,taken past,reaction stop,taking medicine,call doctor,right away,skin redness
